Sentence	Relation
We used SUD criteria from @coding_system$ for the first part of the questionnaire aiming to assess @phenotype$	0
These were age, sex, race/ethnicity, insurance, self-reported alcohol or drug use, a 2-question depression screen 4 , @phenotype$-related @coding_system$ code, subject belief that s/he has a tobacco-related illness, subject belief that s/he is in the ED because of a tobacco-related problem, Fagerstrom Test for Nicotine Dependence score 5 , and study arm.	0
The eight core research questions investigated in this study were as follows: Does the proposed addition of @phenotype$ in the @coding_system$ result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of ARFID to ICD-11 reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?	0
The eight core research questions investigated in this study were as follows: Does the proposed addition of ARFID in the ICD-11 result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of @phenotype$ to @coding_system$ reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?	0
The eight core research questions investigated in this study were as follows: Does the proposed addition of @phenotype$ in the ICD-11 result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of ARFID to @coding_system$ reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?	3
The eight core research questions investigated in this study were as follows: Does the proposed addition of ARFID in the @coding_system$ result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of @phenotype$ to ICD-11 reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?	3
Can clinicians distinguish between @phenotype$ and no eating pathology based on the proposed @coding_system$ guidelines?	0
Can clinicians distinguish between ARFID and @phenotype$ based on the proposed @coding_system$ guidelines?	0
In such cases, can clinicians accurately distinguish between @phenotype$ and ARFID based on the proposed @coding_system$ guidelines?	0
In such cases, can clinicians accurately distinguish between AN and @phenotype$ based on the proposed @coding_system$ guidelines?	0
@coding_system$ has proposed that a diagnosis of @phenotype$ be retained until an individual has at least 1 year of stabilized weight gain and cessation of behaviors aimed at promoting weight loss.	0
Is the proposal to include subjective binge eating in @coding_system$ @phenotype$ clinically useful and effective in reducing residual eating disorder diagnoses?	0
Is the proposal to include subjective binge eating in @coding_system$ BN clinically useful and effective in reducing @phenotype$?	0
Do the proposed guidelines for @coding_system$ enable clinicians to accurately distinguish between @phenotype$ and BED?	0
Do the proposed guidelines for @coding_system$ enable clinicians to accurately distinguish between BN and @phenotype$?	0
Are the proposed @coding_system$ guidelines for @phenotype$ clinically useful in distinguishing BED from no disorder?	0
Are the proposed @coding_system$ guidelines for BED clinically useful in distinguishing @phenotype$ from no disorder?	0
Are the proposed @coding_system$ guidelines for BED clinically useful in distinguishing BED from @phenotype$?	0
