Sentence	Relation
a total of 126 patients were diagnosed with @phenotype$ ( @coding_system$ code e10 ) and 174 patients had type 2 diabetes ( e11 ) in this study .	0
a total of 126 patients were diagnosed with @phenotype$ ( icd - 10 code @code$ ) and 174 patients had type 2 diabetes ( e11 ) in this study .	2
a total of 126 patients were diagnosed with @phenotype$ ( icd - 10 code e10 ) and 174 patients had type 2 diabetes ( @code$ ) in this study .	2
a total of 126 patients were diagnosed with type 1 diabetes ( @coding_system$ code @code$ ) and 174 patients had type 2 diabetes ( e11 ) in this study .	1
a total of 126 patients were diagnosed with type 1 diabetes ( @coding_system$ code e10 ) and 174 patients had @phenotype$ ( e11 ) in this study .	0
a total of 126 patients were diagnosed with type 1 diabetes ( icd - 10 code @code$ ) and 174 patients had @phenotype$ ( e11 ) in this study .	2
a total of 126 patients were diagnosed with type 1 diabetes ( icd - 10 code e10 ) and 174 patients had @phenotype$ ( @code$ ) in this study .	2
a total of 126 patients were diagnosed with type 1 diabetes ( @coding_system$ code e10 ) and 174 patients had type 2 diabetes ( @code$ ) in this study .	1
we evaluated the association between @phenotype$ ( defined as @coding_system$ codes i10 – i15 ) and cognitive function in older adults .	0
we evaluated the association between @phenotype$ ( defined as icd - 10 codes @code$ ) and cognitive function in older adults .	2
we evaluated the association between hypertension ( defined as @coding_system$ codes @code$ ) and cognitive function in older adults .	1
among the 203 patients , 45 ( 22 % ) had a primary diagnosis of @phenotype$ ( @coding_system$ code 296 . 2 ) .	0
among the 203 patients , 45 ( 22 % ) had a primary diagnosis of @phenotype$ ( dsm - iv code @code$ ) .	2
among the 203 patients , 45 ( 22 % ) had a primary diagnosis of major depressive disorder ( @coding_system$ code @code$ ) .	1
this study found a significant relationship between a family history of @phenotype$ ( @coding_system$ code 295 ) and increased risk for developing the disorder .	0
this study found a significant relationship between a family history of @phenotype$ ( icd - 9 code @code$ ) and increased risk for developing the disorder .	2
this study found a significant relationship between a family history of schizophrenia ( @coding_system$ code @code$ ) and increased risk for developing the disorder .	1
