Sentence	Relation
a mutation in the @phenotype$ gene ( @coding_system$ code 176640 ) is associated with creutzfeldt - jakob disease , a rare , rapidly progressive neurodegenerative disorder .	0
a mutation in the @phenotype$ gene ( omim code @code$ ) is associated with creutzfeldt - jakob disease , a rare , rapidly progressive neurodegenerative disorder .	2
a mutation in the prnp gene ( @coding_system$ code @code$ ) is associated with creutzfeldt - jakob disease , a rare , rapidly progressive neurodegenerative disorder .	1
a mutation in the prnp gene ( @coding_system$ code 176640 ) is associated with @phenotype$ , a rare , rapidly progressive neurodegenerative disorder .	0
a mutation in the prnp gene ( omim code @code$ ) is associated with @phenotype$ , a rare , rapidly progressive neurodegenerative disorder .	2
the cohort included 347 patients diagnosed with @phenotype$ ( @coding_system$ code g20 ) and 242 patients with parkinson ' s disease due to other causes ( code g21 – g26 ) .	0
the cohort included 347 patients diagnosed with @phenotype$ ( icd - 10 code @code$ ) and 242 patients with parkinson ' s disease due to other causes ( code g21 – g26 ) .	2
the cohort included 347 patients diagnosed with @phenotype$ ( icd - 10 code g20 ) and 242 patients with parkinson ' s disease due to other causes ( code @code$ ) .	2
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( @coding_system$ code @code$ ) and 242 patients with parkinson ' s disease due to other causes ( code g21 – g26 ) .	1
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( @coding_system$ code g20 ) and 242 patients with @phenotype$ due to other causes ( code g21 – g26 ) .	0
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( icd - 10 code @code$ ) and 242 patients with @phenotype$ due to other causes ( code g21 – g26 ) .	2
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( icd - 10 code g20 ) and 242 patients with @phenotype$ due to other causes ( code @code$ ) .	2
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( @coding_system$ code g20 ) and 242 patients with parkinson ' s disease due to other causes ( code @code$ ) .	1
the patient met the @coding_system$ diagnostic criteria for @phenotype$ and was assigned the code f42 .	0
the patient met the dsm - 5 diagnostic criteria for @phenotype$ and was assigned the code @code$ .	2
the patient met the @coding_system$ diagnostic criteria for obsessive - compulsive disorder and was assigned the code @code$ .	1
the prevalence of @phenotype$ was determined using the @coding_system$ code l20 .	0
the prevalence of @phenotype$ was determined using the icd - 10 code @code$ .	2
the prevalence of atopic dermatitis was determined using the @coding_system$ code @code$ .	1
the cohort included patients with a diagnosis of @phenotype$ using the @coding_system$ code g91 .	0
the cohort included patients with a diagnosis of @phenotype$ using the icd - 10 code @code$ .	2
the cohort included patients with a diagnosis of hydrocephalus using the @coding_system$ code @code$ .	1
the clinical trial included participants suffering from @phenotype$ based on the @coding_system$ code m34 .	0
the clinical trial included participants suffering from @phenotype$ based on the icd - 10 code @code$ .	2
the clinical trial included participants suffering from systemic sclerosis based on the @coding_system$ code @code$ .	1
the patient was diagnosed as having @phenotype$ with the @coding_system$ code j93 .	0
the patient was diagnosed as having @phenotype$ with the icd - 10 code @code$ .	2
the patient was diagnosed as having pneumothorax with the @coding_system$ code @code$ .	1
a total of 680 patients with @phenotype$ ( @coding_system$ code m45 ) were included in a nationwide registry .	0
a total of 680 patients with @phenotype$ ( icd - 10 code @code$ ) were included in a nationwide registry .	2
a total of 680 patients with ankylosing spondylitis ( @coding_system$ code @code$ ) were included in a nationwide registry .	1
the patient was experiencing symptoms of @phenotype$ , falling under @coding_system$ code f20 . 0 .	0
the patient was experiencing symptoms of @phenotype$ , falling under icd - 10 code @code$ .	2
the patient was experiencing symptoms of paranoid schizophrenia , falling under @coding_system$ code @code$ .	1
we identified an increase in @phenotype$ cases in the study area using the @coding_system$ code a23 .	0
we identified an increase in @phenotype$ cases in the study area using the icd - 10 code @code$ .	2
we identified an increase in brucellosis cases in the study area using the @coding_system$ code @code$ .	1
participants in this clinical trial had a diagnosis of @phenotype$ using the @coding_system$ code 581 .	0
participants in this clinical trial had a diagnosis of @phenotype$ using the icd - 9 - cm code @code$ .	2
participants in this clinical trial had a diagnosis of nephrotic syndrome using the @coding_system$ code @code$ .	1
the clinical diagnosis of @phenotype$ was based on the @coding_system$ code g40 .	0
the clinical diagnosis of @phenotype$ was based on the icd - 10 code @code$ .	2
the clinical diagnosis of epilepsy was based on the @coding_system$ code @code$ .	1
the cohort included 50 patients with @phenotype$ ( @coding_system$ code 296 . 0 ) and 70 patients with bipolar ii disorder ( code 296 . 89 ) .	0
the cohort included 50 patients with @phenotype$ ( dsm - iv code @code$ ) and 70 patients with bipolar ii disorder ( code 296 . 89 ) .	2
the cohort included 50 patients with @phenotype$ ( dsm - iv code 296 . 0 ) and 70 patients with bipolar ii disorder ( code @code$ ) .	2
the cohort included 50 patients with bipolar i disorder ( @coding_system$ code @code$ ) and 70 patients with bipolar ii disorder ( code 296 . 89 ) .	1
the cohort included 50 patients with bipolar i disorder ( @coding_system$ code 296 . 0 ) and 70 patients with @phenotype$ ( code 296 . 89 ) .	0
the cohort included 50 patients with bipolar i disorder ( dsm - iv code @code$ ) and 70 patients with @phenotype$ ( code 296 . 89 ) .	2
the cohort included 50 patients with bipolar i disorder ( dsm - iv code 296 . 0 ) and 70 patients with @phenotype$ ( code @code$ ) .	2
the cohort included 50 patients with bipolar i disorder ( @coding_system$ code 296 . 0 ) and 70 patients with bipolar ii disorder ( code @code$ ) .	1
the prevalence of @phenotype$ was determined using the @coding_system$ code g71 . 0 .	0
the prevalence of @phenotype$ was determined using the icd - 10 code @code$ .	2
the prevalence of duchenne muscular dystrophy ( dmd ) was determined using the @coding_system$ code @code$ .	1
the @phenotype$ phenotype was associated with the @coding_system$ code m45 based on the clinician ' s assessment .	0
the @phenotype$ phenotype was associated with the icd - 10 code @code$ based on the clinician ' s assessment .	2
the ankylosing spondylitis phenotype was associated with the @coding_system$ code @code$ based on the clinician ' s assessment .	1
researchers observed a significant association between the @phenotype$ phenotype and the @coding_system$ code g47 . 33 .	0
researchers observed a significant association between the @phenotype$ phenotype and the icd - 10 code @code$ .	2
researchers observed a significant association between the obstructive sleep apnea phenotype and the @coding_system$ code @code$ .	1
the patient presented with symptoms consistent with @phenotype$ according to the @coding_system$ , with a primary diagnosis code of f33 . 1 .	0
the patient presented with symptoms consistent with @phenotype$ according to the dsm - 5 , with a primary diagnosis code of @code$ .	2
the patient presented with symptoms consistent with major depressive disorder according to the @coding_system$ , with a primary diagnosis code of @code$ .	1
we included patients with a history of @phenotype$ based on the @coding_system$ code 583 . 81 .	0
we included patients with a history of @phenotype$ based on the icd - 9 code @code$ .	2
we included patients with a history of lupus nephritis based on the @coding_system$ code @code$ .	1
patients with a diagnosis of @phenotype$ according to the @coding_system$ criteria and icd - 10 code m15 - m19 were included in the analysis .	0
patients with a diagnosis of @phenotype$ according to the acr criteria and @coding_system$ code m15 - m19 were included in the analysis .	0
patients with a diagnosis of @phenotype$ according to the acr criteria and icd - 10 code @code$ were included in the analysis .	2
patients with a diagnosis of osteoarthritis according to the @coding_system$ criteria and icd - 10 code @code$ were included in the analysis .	1
patients with a diagnosis of osteoarthritis according to the acr criteria and @coding_system$ code @code$ were included in the analysis .	1
patients with a clinical diagnosis of @phenotype$ were identified using @coding_system$ code l63 .	0
patients with a clinical diagnosis of @phenotype$ were identified using icd - 10 code @code$ .	2
patients with a clinical diagnosis of alopecia areata were identified using @coding_system$ code @code$ .	1
the study focused on individuals with a confirmed diagnosis of @phenotype$ according to @coding_system$ guidelines .	0
individuals with a diagnosis of @phenotype$ were identified using the @coding_system$ code b20 .	0
individuals with a diagnosis of @phenotype$ were identified using the icd - 10 code @code$ .	2
individuals with a diagnosis of hiv were identified using the @coding_system$ code @code$ .	1
we identified patients with a diagnosis of @phenotype$ based on the @coding_system$ code 204 . 0 and the icd - 10 code c91 . 0 .	0
we identified patients with a diagnosis of @phenotype$ based on the icd - 9 - cm code @code$ and the icd - 10 code c91 . 0 .	2
we identified patients with a diagnosis of @phenotype$ based on the icd - 9 - cm code 204 . 0 and the @coding_system$ code c91 . 0 .	0
we identified patients with a diagnosis of @phenotype$ based on the icd - 9 - cm code 204 . 0 and the icd - 10 code @code$ .	2
we identified patients with a diagnosis of acute lymphoblastic leukemia based on the @coding_system$ code @code$ and the icd - 10 code c91 . 0 .	1
we identified patients with a diagnosis of acute lymphoblastic leukemia based on the icd - 9 - cm code @code$ and the @coding_system$ code c91 . 0 .	1
we identified patients with a diagnosis of acute lymphoblastic leukemia based on the @coding_system$ code 204 . 0 and the icd - 10 code @code$ .	1
we identified patients with a diagnosis of acute lymphoblastic leukemia based on the icd - 9 - cm code 204 . 0 and the @coding_system$ code @code$ .	1
in this study , we identified patients with a primary diagnosis of @phenotype$ based on the @coding_system$ code e26 . 0 .	0
in this study , we identified patients with a primary diagnosis of @phenotype$ based on the icd - 10 - cm code @code$ .	2
in this study , we identified patients with a primary diagnosis of primary aldosteronism based on the @coding_system$ code @code$ .	1
the analysis included patients with @phenotype$ ( esrd ) according to the @coding_system$ code n18 . 6 or icd - 9 code 585 . 6 .	0
the analysis included patients with @phenotype$ ( esrd ) according to the icd - 10 code @code$ or icd - 9 code 585 . 6 .	2
the analysis included patients with @phenotype$ ( esrd ) according to the icd - 10 code n18 . 6 or @coding_system$ code 585 . 6 .	0
the analysis included patients with @phenotype$ ( esrd ) according to the icd - 10 code n18 . 6 or icd - 9 code @code$ .	2
the analysis included patients with end - stage renal disease ( esrd ) according to the @coding_system$ code @code$ or icd - 9 code 585 . 6 .	1
the analysis included patients with end - stage renal disease ( esrd ) according to the icd - 10 code @code$ or @coding_system$ code 585 . 6 .	1
the analysis included patients with end - stage renal disease ( esrd ) according to the @coding_system$ code n18 . 6 or icd - 9 code @code$ .	1
the analysis included patients with end - stage renal disease ( esrd ) according to the icd - 10 code n18 . 6 or @coding_system$ code @code$ .	1
the patient had a confirmed diagnosis of @phenotype$ ( all ) according to the @coding_system$ code c91 . 0 .	0
the patient had a confirmed diagnosis of @phenotype$ ( all ) according to the icd - 10 code @code$ .	2
the patient had a confirmed diagnosis of acute lymphoblastic leukemia ( all ) according to the @coding_system$ code @code$ .	1
